eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 9499)","('mean_test_loss', 3.393139170952779)","('test_acc', 0.18966470154753132)","('test_f1', 0.19007739769940032)","('test_prec', 0.21955978402322152)","('test_reca', 0.18966470154753134)","('test_roc', 0.5422426688121822)","('mean_train_loss', 2.5180416107177734)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.391282231807709)","('val_acc', 0.1946875)","('val_f1', 0.1959576312243902)","('val_prec', 0.22536149466317246)","('val_reca', 0.1946875)","('val_roc', 0.55170625)","('pytorch_total_params', 541216)","('train_time', 7870.760838031769)","('best_epoch', 2672)","('experiment_id', '764')","('train_samples', '8608')","('val_samples', '1065 9199 7630 715 9400 6120 3438 4590 4761 7564 6375 785 1151 7927 1959 7105 6894 3500 8574 8955 956 5357 4825 9037 1507 6041 485 2197 7459 4169 5856 6091 2194 9395 9378 6038 1455 1576 1169 3245 3683 6898 8166 37 5506 3835 2677 3946 3176 295 3936 885 5049 9109 9022 8753 6289 6405 7220 3747 4247 108 6754 1269 3472 2239 747 95 1428 2856 6496 1764 5184 4916 2761 9212 7796 8912 5201 7267 1112 5754 6333 9570 9045 8599 4189 5671 7489 6594 2682 6372 9451 8091 5096 6634 9179 6639 6612 7151')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 9499)","('mean_test_loss', 3.407773847290812)","('test_acc', 0.18035122118117697)","('test_f1', 0.18647518918512912)","('test_prec', 0.2249144920637034)","('test_reca', 0.18035122118117697)","('test_roc', 0.5334851008339659)","('mean_train_loss', 2.518042802810669)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.4101864361763)","('val_acc', 0.183125)","('val_f1', 0.19037203098138122)","('val_prec', 0.22901578704555195)","('val_reca', 0.18312499999999998)","('val_roc', 0.5274988911290323)","('pytorch_total_params', 541216)","('train_time', 6162.678658723831)","('best_epoch', 2089)","('experiment_id', '1904')","('train_samples', '2618')","('val_samples', '6965 9350 957 2831 2774 7856 8370 9545 4427 519 8247 5257 5302 9560 5078 331 1493 2033 7835 6378 2364 6536 2910 2474 9479 5484 2754 2672 1539 399 6755 9331 6605 515 7689 2205 9137 1671 1579 5934 7258 7200 7682 4488 8401 2226 4991 22 2385 3990 3174 6191 7055 7495 6451 4577 6564 3677 6340 6395 2614 292 1224 1123 6961 4209 5660 2141 2236 5679 8524 3977 674 9134 7623 4569 5250 5594 5843 2089 5935 39 8307 1690 4748 7323 7013 8271 2138 7758 7057 6497 1944 4540 9299 7371 7977 7118 2552 884')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 9499)","('mean_test_loss', 3.3852449035202783)","('test_acc', 0.19980721654911043)","('test_f1', 0.1997537477029378)","('test_prec', 0.22413670231242702)","('test_reca', 0.19980721654911043)","('test_roc', 0.5440442124712358)","('mean_train_loss', 2.5180411338806152)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.385416684150696)","('val_acc', 0.204375)","('val_f1', 0.2025047291503336)","('val_prec', 0.2272660240395174)","('val_reca', 0.204375)","('val_roc', 0.5460842741935483)","('pytorch_total_params', 541216)","('train_time', 9911.028791427612)","('best_epoch', 3000)","('experiment_id', '3044')","('train_samples', '1092')","('val_samples', '8694 5485 4617 4487 9545 7894 830 701 2064 4800 868 4456 9101 9410 906 6672 6499 1190 533 919 1185 7572 2197 2930 6535 8282 1041 3725 5004 9595 7429 1302 2637 7772 1052 5291 5056 588 6942 6233 5189 7992 2632 4181 5919 6987 6399 8889 4980 7476 4618 8593 2943 9499 4331 7324 7547 1951 9246 3674 8628 3669 7486 5660 867 1201 892 5433 7882 5921 1773 4405 2000 5416 6337 5289 5880 8570 3370 7681 8008 3817 8556 2987 5286 9047 9306 3193 2638 3316 5624 369 6880 2130 9150 7961 2909 1543 1225 3918')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 9499)","('mean_test_loss', 3.3734021422762357)","('test_acc', 0.21386132750815876)","('test_f1', 0.21456855894638888)","('test_prec', 0.23478809862588723)","('test_reca', 0.21386132750815873)","('test_roc', 0.5511262641923225)","('mean_train_loss', 2.518040895462036)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.37114164352417)","('val_acc', 0.2215625)","('val_f1', 0.22128661741013758)","('val_prec', 0.2427074326119799)","('val_reca', 0.2215625)","('val_roc', 0.5575986895161289)","('pytorch_total_params', 541216)","('train_time', 9728.470969676971)","('best_epoch', 3456)","('experiment_id', '4184')","('train_samples', '935')","('val_samples', '4900 2249 2117 5030 6623 6153 5081 6522 6978 1948 5422 2021 1566 7743 5184 1933 5549 4891 5296 7421 499 4301 3666 5259 3827 62 1595 2213 3620 4397 5350 3375 4614 5103 6537 7549 4571 6864 7915 6047 3771 6929 2027 8151 5157 7125 8820 3406 1885 1683 5283 8852 5838 9475 1115 5866 4659 7013 9044 6868 34 1619 4588 4139 6302 6716 843 5652 6770 4986 3833 4753 8406 1109 2045 4927 2125 3571 7279 8900 1562 1955 426 6018 1460 1209 257 9090 2708 3167 5738 8713 4945 5304 7924 5919 6902 538 1330 9540')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 9499)","('mean_test_loss', 3.3850775818182726)","('test_acc', 0.2037878987261817)","('test_f1', 0.20432893852850337)","('test_prec', 0.22881460746276652)","('test_reca', 0.2037878987261817)","('test_roc', 0.5473182674109154)","('mean_train_loss', 2.5180413722991943)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3841183185577393)","('val_acc', 0.205)","('val_f1', 0.20531385275715014)","('val_prec', 0.23069698322261106)","('val_reca', 0.20500000000000002)","('val_roc', 0.5521726814516129)","('pytorch_total_params', 541216)","('train_time', 8500.05333852768)","('best_epoch', 2771)","('experiment_id', '5324')","('train_samples', '1721')","('val_samples', '8070 8270 3652 662 5079 2847 3757 2384 1820 6134 4757 5040 6689 2443 5646 8399 2886 1416 7183 8780 27 9433 5299 2289 8621 7448 8492 2787 7855 2403 4148 1586 7298 5495 5663 7856 1600 5131 2660 7793 4347 5567 6207 2838 187 6426 4524 2449 648 8386 1314 7608 4402 477 7759 1076 8829 6351 6142 6051 4080 7583 7816 250 3075 9499 7807 6243 144 8411 7052 245 1513 4566 8720 2818 7893 2568 7617 7543 8855 4442 9443 7823 4487 6804 6300 1489 5972 2355 48 5761 3203 9448 2025 4174 5856 428 391 352')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 9499)","('mean_test_loss', 3.3839357555609073)","('test_acc', 0.20195217917675545)","('test_f1', 0.20700125795873076)","('test_prec', 0.25255990749310897)","('test_reca', 0.20195217917675545)","('test_roc', 0.5462859189648491)","('mean_train_loss', 2.5180411338806152)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.378286621570587)","('val_acc', 0.21125)","('val_f1', 0.21379059039048753)","('val_prec', 0.2566564013700854)","('val_reca', 0.21125)","('val_roc', 0.5536075604838709)","('pytorch_total_params', 541216)","('train_time', 10069.519922018051)","('best_epoch', 3208)","('experiment_id', '6464')","('train_samples', '8063')","('val_samples', '7679 3566 9247 4470 6260 839 7720 9172 4078 5698 9083 4992 418 4464 2081 1037 454 5646 1822 4966 9281 819 2558 9532 881 4825 6869 7884 2084 6550 1263 3226 4681 4434 509 4974 6243 6351 2014 9331 6973 2073 3093 9366 813 4223 9161 6991 5379 7472 3179 2325 2842 1590 7967 5826 9485 6241 4778 3937 4837 8029 7454 3569 8532 5397 9007 304 5834 1584 108 8639 1004 2158 5393 3793 8391 8165 1387 5798 4771 2949 471 868 8994 1914 5144 7229 4731 2841 7746 3210 6539 2897 5415 4094 2411 5395 9472 1733')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 9499)","('mean_test_loss', 3.379664683043298)","('test_acc', 0.20509724707863985)","('test_f1', 0.2046217872257859)","('test_prec', 0.22207811658065527)","('test_reca', 0.20509724707863985)","('test_roc', 0.5482399748424154)","('mean_train_loss', 2.5180411338806152)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.374611485004425)","('val_acc', 0.2103125)","('val_f1', 0.20836718671814553)","('val_prec', 0.23007412013001263)","('val_reca', 0.2103125)","('val_roc', 0.551071068548387)","('pytorch_total_params', 541216)","('train_time', 10074.901195526123)","('best_epoch', 3050)","('experiment_id', '7604')","('train_samples', '6800')","('val_samples', '4695 7651 9573 3748 4593 1967 8552 8633 4082 6489 6705 3787 8763 7529 1306 4564 2866 6305 7680 2330 3917 8882 4059 4365 7693 2794 9276 5065 3333 8408 4122 4524 7215 5900 4003 5250 8654 4582 3857 9362 6762 668 5115 2916 9316 2247 8922 1466 3476 3417 3575 5750 6738 1093 806 4590 8199 8263 6709 7464 8264 8226 2622 8149 5111 1715 3191 2569 2085 4325 2719 2111 3238 1986 3995 9168 9139 3533 3292 2976 2933 1722 7687 7914 4218 2520 1613 6719 9597 9076 7664 1513 8938 4921 6321 6216 6899 2934 5236 1494')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 9499)","('mean_test_loss', 3.3779897200633306)","('test_acc', 0.20828837246025897)","('test_f1', 0.21302203182665483)","('test_prec', 0.2465409853993323)","('test_reca', 0.20828837246025897)","('test_roc', 0.5469409324024721)","('mean_train_loss', 2.5180411338806152)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3803668808937073)","('val_acc', 0.201875)","('val_f1', 0.2059939123502339)","('val_prec', 0.2398949787082313)","('val_reca', 0.201875)","('val_roc', 0.5434220262096774)","('pytorch_total_params', 541216)","('train_time', 9169.640133619308)","('best_epoch', 2863)","('experiment_id', '8744')","('train_samples', '3664')","('val_samples', '4900 1696 1431 248 2344 960 2227 9181 4462 7093 5383 1354 8746 7049 8757 4018 5153 538 1042 4219 3825 5701 6128 3359 1740 323 973 5944 4924 1472 7534 3393 5084 5466 6342 3111 6890 110 7412 6781 865 3002 8262 2427 6745 9180 415 8787 5292 4292 902 7387 5638 5688 6286 5874 3563 3037 573 7893 5632 4696 3444 2700 3918 1154 6874 274 8140 7878 5309 1628 1340 4163 1488 4963 2907 4668 1382 6976 3660 3528 8673 1885 6102 7542 437 4097 7650 4991 9433 7741 5705 7249 395 9580 1603 8773 6807 3868')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 9499)","('mean_test_loss', 3.401195835974332)","('test_acc', 0.18668741446468048)","('test_f1', 0.19239823441812504)","('test_prec', 0.2271473059390513)","('test_reca', 0.1866874144646805)","('test_roc', 0.5368774437715327)","('mean_train_loss', 2.5180411338806152)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3937720227241517)","('val_acc', 0.2075)","('val_f1', 0.2108762329383075)","('val_prec', 0.2425509929590457)","('val_reca', 0.20750000000000002)","('val_roc', 0.554896370967742)","('pytorch_total_params', 541216)","('train_time', 11991.326852321625)","('best_epoch', 3194)","('experiment_id', '9884')","('train_samples', '742')","('val_samples', '7390 4723 6347 6904 6516 8469 8732 4078 5691 360 6294 7674 8843 6297 6401 4254 4664 5258 4615 5860 5425 6422 3464 9448 3651 974 7873 3479 6357 6841 7326 2646 7449 7000 7952 8939 6731 7408 2157 1388 4456 1710 4071 2944 1498 7150 439 6982 4819 2553 1864 4674 8956 8474 6687 702 2765 2576 8246 1058 4859 6100 75 3089 7128 635 5706 7202 5721 7219 6107 1671 2432 8467 6216 3140 5554 7260 5025 3886 6685 5144 2983 4750 897 5934 9522 3352 7597 2876 2111 2963 5126 1028 3297 6722 751 2711 2272 2167')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 9499)","('mean_test_loss', 3.3819193779286465)","('test_acc', 0.21785516896515422)","('test_f1', 0.22756433434946136)","('test_prec', 0.25678278412368094)","('test_reca', 0.21785516896515422)","('test_roc', 0.5461863057833817)","('mean_train_loss', 2.518040895462036)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3867390823364256)","('val_acc', 0.2071875)","('val_f1', 0.21693184848496203)","('val_prec', 0.2450953465607707)","('val_reca', 0.2071875)","('val_roc', 0.5371537298387097)","('pytorch_total_params', 541216)","('train_time', 12301.382501840591)","('best_epoch', 3376)","('experiment_id', '11024')","('train_samples', '21')","('val_samples', '5969 8017 1978 3289 1992 7157 4069 7234 8419 8711 8567 9192 4010 7431 4874 731 1295 2835 7438 7798 4440 4664 495 7433 1544 7784 6400 3431 9353 7701 3574 9568 1694 4883 8746 8204 1828 1748 6359 7224 4233 6580 2702 4977 919 3616 416 4933 6892 4425 7901 4093 7723 2318 4998 3318 6594 404 8784 6767 151 3130 1465 114 5979 4293 3392 4188 3138 8996 2336 2561 3374 1886 1338 921 1241 3200 8091 8882 2814 7690 2311 2655 4766 952 522 1227 5751 6646 4850 9477 7936 6587 6368 1593 3731 385 9299 2897')"
