eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6335990783596825)","('test_acc', 0.9095666594171379)","('test_f1', 0.9033692462744216)","('test_prec', 0.9172301312846048)","('test_reca', 0.9095666594171379)","('test_roc', 0.9963033592284398)","('mean_train_loss', 2.5180482864379883)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6364424538612368)","('val_acc', 0.90375)","('val_f1', 0.8965077830271551)","('val_prec', 0.9107588956442074)","('val_reca', 0.90375)","('val_roc', 0.9963248991935483)","('pytorch_total_params', 329796)","('train_time', 4032.373367547989)","('best_epoch', 1165)","('experiment_id', '550')","('train_samples', '225')","('val_samples', '932 152 795 1317 2103 1845 2048 1814 1293 627 862 2116 410 349 1964 1067 63 2329 1775 1723 1804 1340 2365 2038 1053 2070 2323 1468 1983 983 1253 1289 1681 1111 900 1759 684 510 1600 253 1715 1407 566 1686 2055 2171 2346 1734 1436 79 1967 460 1242 212 657 1602 1782 123 336 1532 1079 359 443 1298 1786 1226 2261 1992 2068 743 1672 2087 1930 1530 496 1055 1430 2027 264 2036 1865 1933 509 1103 1569 1605 1159 1118 1503 2073 651 1156 2370 1736 1902 1508 704 779 531 360')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.7096599725704187)","('test_acc', 0.8274249673771205)","('test_f1', 0.7933121076358419)","('test_prec', 0.8139338907290401)","('test_reca', 0.8274249673771206)","('test_roc', 0.9869563403468926)","('mean_train_loss', 2.5180459022521973)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7094271111488344)","('val_acc', 0.8253125)","('val_f1', 0.7918717163247271)","('val_prec', 0.8106323633648481)","('val_reca', 0.8253125)","('val_roc', 0.9870253024193548)","('pytorch_total_params', 329796)","('train_time', 4461.342394828796)","('best_epoch', 1552)","('experiment_id', '1690')","('train_samples', '1927')","('val_samples', '1405 705 1475 981 409 1014 249 2105 1106 1140 371 562 1822 1 352 1845 1850 96 1549 539 800 1205 1855 2106 2228 1523 1155 1136 1354 290 2249 2208 1997 1842 145 1720 1261 1787 2152 1524 724 2230 1628 2195 1642 2026 2123 1533 1934 18 1843 1221 414 1929 1837 1821 545 1179 164 1264 1517 1330 223 832 1388 1017 63 1826 437 653 1765 366 1180 986 2211 211 107 1968 765 111 961 1385 468 1781 53 2001 1079 2252 501 1423 778 766 1712 557 2093 427 1500 2037 257 1972')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.701963998484269)","('test_acc', 0.8385847107438017)","('test_f1', 0.8124761972891142)","('test_prec', 0.8356589288863628)","('test_reca', 0.8385847107438016)","('test_roc', 0.9902385778785876)","('mean_train_loss', 2.5180699825286865)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7064136362075804)","('val_acc', 0.8371875)","('val_f1', 0.8120716690844254)","('val_prec', 0.8389306915801918)","('val_reca', 0.8371875)","('val_roc', 0.9904364919354838)","('pytorch_total_params', 329796)","('train_time', 2521.6619522571564)","('best_epoch', 768)","('experiment_id', '2830')","('train_samples', '670')","('val_samples', '1015 1457 647 1802 1279 444 1724 91 1485 1481 1817 98 83 1672 927 2117 517 1979 1364 936 656 1154 1557 1933 524 2173 976 2324 2019 1589 1180 1975 1209 712 2373 1490 802 2026 259 563 2239 2236 2233 1783 2222 1483 1347 331 2023 1835 2366 1237 1408 793 2188 338 184 189 286 1669 653 929 1736 931 1508 1167 1384 55 80 1473 206 1644 769 753 1668 2322 2157 1327 277 511 321 1276 411 1609 1098 299 715 340 872 1109 1078 365 924 2000 1868 2227 227 1619 1516 425')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.7086245515855722)","('test_acc', 0.8342349934754241)","('test_f1', 0.8210978509603857)","('test_prec', 0.8515088464963014)","('test_reca', 0.8342349934754241)","('test_roc', 0.9930933660206427)","('mean_train_loss', 2.518043279647827)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.715517337322235)","('val_acc', 0.8275)","('val_f1', 0.8157947690109708)","('val_prec', 0.8477584981917443)","('val_reca', 0.8274999999999999)","('val_roc', 0.9924365927419355)","('pytorch_total_params', 329796)","('train_time', 8251.258745670319)","('best_epoch', 2401)","('experiment_id', '3970')","('train_samples', '2218')","('val_samples', '516 1379 658 630 147 2383 2087 442 92 2309 270 836 1128 2141 2162 1599 1716 653 32 1073 972 1651 977 82 613 81 1420 432 1070 657 1994 898 911 203 2062 551 852 1249 1147 1251 895 1570 963 650 1024 1390 796 1696 101 1636 2040 1818 1352 517 1018 1548 52 1218 308 1299 2215 2091 2316 2230 869 1521 2054 637 835 2391 690 1166 1174 2128 430 850 1060 1162 547 1232 567 76 301 885 1578 1260 2333 2324 16 1477 1751 825 2202 957 1219 2168 1031 572 1417 1828')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.712448573620644)","('test_acc', 0.8629703131796433)","('test_f1', 0.8507772812924306)","('test_prec', 0.8763228415126998)","('test_reca', 0.8629703131796433)","('test_roc', 0.9934111427836485)","('mean_train_loss', 2.518887758255005)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7102883887290954)","('val_acc', 0.87)","('val_f1', 0.8593552856971352)","('val_prec', 0.8790836636196948)","('val_reca', 0.87)","('val_roc', 0.9933545362903226)","('pytorch_total_params', 329796)","('train_time', 396.1015167236328)","('best_epoch', 82)","('experiment_id', '5110')","('train_samples', '8')","('val_samples', '650 2250 819 389 1836 2226 1203 2177 2084 1909 2131 372 2046 340 2037 1736 68 1099 1621 2137 1481 2296 97 862 1719 2276 2236 620 417 1891 373 2155 1260 1139 102 321 123 104 1331 767 1052 1479 959 276 825 1053 1763 83 1435 790 88 65 1280 568 696 191 889 820 1961 1092 1065 863 1965 1950 428 166 1010 2228 2148 1876 350 1802 1933 1996 119 1398 2071 869 596 1464 2375 423 1734 569 1505 1169 885 1565 722 762 516 250 953 1250 614 82 1823 1078 1357 1653')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.640971390046779)","('test_acc', 0.8927386907351023)","('test_f1', 0.8816871199949139)","('test_prec', 0.9005631616264429)","('test_reca', 0.8927386907351023)","('test_roc', 0.9964745898846288)","('mean_train_loss', 2.518047571182251)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6371476602554322)","('val_acc', 0.8934375)","('val_f1', 0.8819831013226025)","('val_prec', 0.9005191303455368)","('val_reca', 0.8934375)","('val_roc', 0.996535685483871)","('pytorch_total_params', 329796)","('train_time', 4228.945536851883)","('best_epoch', 1364)","('experiment_id', '6250')","('train_samples', '2189')","('val_samples', '1659 2280 594 1900 1041 1762 1362 899 1720 930 865 78 220 2062 1230 637 752 951 70 1907 2344 427 1896 1651 1500 1691 2314 2297 755 820 1010 1830 1588 732 645 889 205 1199 525 848 379 1985 1804 339 1140 1725 1433 839 1924 1364 1669 460 1998 410 804 1563 338 634 1561 941 947 1087 967 1770 1990 1093 740 2229 584 448 956 613 177 2007 241 144 2213 778 1917 962 1119 14 65 2126 1469 153 1569 631 2088 218 2103 1471 2324 1961 98 1053 1895 841 1164 60')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.7191685031112662)","('test_acc', 0.8221101565898217)","('test_f1', 0.7959636014078378)","('test_prec', 0.8303908483940978)","('test_reca', 0.8221101565898217)","('test_roc', 0.9879493396855579)","('mean_train_loss', 2.5180506706237793)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.720280818939209)","('val_acc', 0.816875)","('val_f1', 0.7882282786870729)","('val_prec', 0.8286376759933045)","('val_reca', 0.816875)","('val_roc', 0.987036995967742)","('pytorch_total_params', 329796)","('train_time', 4039.76567530632)","('best_epoch', 1025)","('experiment_id', '7390')","('train_samples', '445')","('val_samples', '2339 1208 1950 1911 1943 1170 74 2279 1002 2298 1271 151 2288 344 328 527 1380 2374 2370 435 2084 1007 1694 2263 1439 211 625 1925 1000 1175 2232 335 1786 1166 1244 1823 929 837 2186 2027 1788 1910 915 921 378 2160 1531 180 149 364 389 2230 1687 1564 1684 1309 168 200 327 674 1030 161 1883 309 1258 346 1974 1293 1106 1096 277 2267 1043 1904 933 1659 1400 2352 2198 1554 1992 1890 463 2317 609 2058 311 1418 931 638 1148 1283 2199 763 1498 1966 2112 1279 592 914')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.612926472887468)","('test_acc', 0.9268839712918661)","('test_f1', 0.918931207724033)","('test_prec', 0.9282353459572468)","('test_reca', 0.9268839712918661)","('test_roc', 0.998025688071362)","('mean_train_loss', 2.5180556774139404)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.614767210483551)","('val_acc', 0.9228125)","('val_f1', 0.9152036518844866)","('val_prec', 0.9240433534748675)","('val_reca', 0.9228125)","('val_roc', 0.9982507056451613)","('pytorch_total_params', 329796)","('train_time', 2935.6135601997375)","('best_epoch', 842)","('experiment_id', '8530')","('train_samples', '1680')","('val_samples', '1449 1168 2139 2333 158 73 1785 2177 787 1369 1593 2201 1843 2078 2379 1068 1929 504 1737 2381 525 2062 471 1129 276 1020 815 1098 709 1395 489 1375 48 1145 1 2210 1352 1954 769 23 409 2105 1783 1629 204 1234 2160 1806 792 153 2089 1903 836 349 441 779 1246 2311 49 306 448 1542 764 2159 2249 453 259 184 1134 286 2110 770 1376 1890 1878 1053 485 997 1971 13 39 1137 2132 2397 1729 1133 810 1385 5 583 1608 1599 2172 1541 920 1539 154 277 1633 828')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.7245217293643496)","('test_acc', 0.8149467159634624)","('test_f1', 0.7917965963304929)","('test_prec', 0.8348981913262594)","('test_reca', 0.8149467159634625)","('test_roc', 0.9902699829521587)","('mean_train_loss', 2.518043279647827)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7265377187728883)","('val_acc', 0.814375)","('val_f1', 0.7923894028217255)","('val_prec', 0.8354438176429086)","('val_reca', 0.8143750000000001)","('val_roc', 0.989613004032258)","('pytorch_total_params', 329796)","('train_time', 8140.3401482105255)","('best_epoch', 2195)","('experiment_id', '10810')","('train_samples', '1473')","('val_samples', '1934 1579 2139 1830 1053 2001 436 1182 12 1887 1696 2051 507 1393 420 1029 397 1098 1530 2108 169 106 471 860 1026 1478 333 1552 749 5 1179 1000 1451 926 2179 1905 125 1215 487 1156 1405 70 1113 258 632 1914 188 1676 319 56 2369 1270 750 2 75 1929 64 423 1998 1020 1730 344 731 1400 1662 1459 650 748 1694 734 1613 192 742 1879 419 2374 1725 1259 372 2160 1010 2002 885 189 1002 1306 893 1395 1274 668 1444 977 692 920 193 680 1680 821 1706 641')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6400513846026965)","('test_acc', 0.903830469769465)","('test_f1', 0.89803638663047)","('test_prec', 0.9187454402187798)","('test_reca', 0.903830469769465)","('test_roc', 0.9976142622584054)","('mean_train_loss', 2.5180552005767822)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6378314328193664)","('val_acc', 0.90875)","('val_f1', 0.9029553459061552)","('val_prec', 0.9206801902694304)","('val_reca', 0.90875)","('val_roc', 0.9978595766129033)","('pytorch_total_params', 329796)","('train_time', 1980.3940839767456)","('best_epoch', 1026)","('experiment_id', '9670')","('train_samples', '2396')","('val_samples', '90 2208 1383 1559 2357 1503 1317 2158 2112 584 292 160 1176 1252 1355 963 849 2178 2321 654 332 1589 577 1075 837 2078 514 347 1986 739 1494 1148 1023 567 2320 2249 2182 1725 2297 1836 887 1194 1714 668 740 1256 661 547 173 1771 1975 959 1884 1524 448 2384 242 1887 2100 2177 2004 891 333 120 575 364 1095 5 2081 948 1297 896 961 1871 1174 1077 1527 1179 1792 102 1747 2286 1450 1965 1227 2085 1988 990 478 2192 1870 1344 2152 1684 420 840 1708 1413 2324 1456')"
