eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 9492)","('mean_test_loss', 2.584141326739323)","('test_acc', 0.9403609618626212)","('test_f1', 0.9391208046936208)","('test_prec', 0.9388314796540587)","('test_reca', 0.9403609618626212)","('test_roc', 0.9980450242444059)","('mean_train_loss', 2.518041253089905)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.586824276447296)","('val_acc', 0.9375)","('val_f1', 0.9354649812716254)","('val_prec', 0.9350907399369404)","('val_reca', 0.9375)","('val_roc', 0.997811189516129)","('pytorch_total_params', 329796)","('train_time', 2298.8413922786713)","('best_epoch', 682)","('experiment_id', '455')","('train_samples', '5100 680 2196 279 7701 7191 6192 3467')","('val_samples', '4030 7753 5572 8154 1513 7612 5563 530 4442 380 64 2616 4836 1718 7156 4778 2574 5759 1883 2506 5484 8853 527 2173 5234 6027 7486 6238 5322 9574 4504 8997 5703 6981 1113 5120 7627 49 3531 2249 2689 8428 7964 8241 4381 7149 4514 8113 5591 387 5175 2045 9286 4874 8892 1614 46 2422 5902 3777 410 8020 3761 3998 6405 1591 3904 8792 4261 1605 886 4063 4170 7112 8104 2607 5564 4629 6533 3632 674 6203 639 9292 496 670 4150 156 9248 5194 8270 416 2948 1166 1139 1566 7705 652 3157 6467')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 9492)","('mean_test_loss', 2.588651357574198)","('test_acc', 0.9351855509903076)","('test_f1', 0.9334311326899125)","('test_prec', 0.9343672745513432)","('test_reca', 0.9351855509903075)","('test_roc', 0.9979753038240071)","('mean_train_loss', 2.518041729927063)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5855067062377928)","('val_acc', 0.9375)","('val_f1', 0.9360837428777283)","('val_prec', 0.9373049106900497)","('val_reca', 0.9375)","('val_roc', 0.9985622983870968)","('pytorch_total_params', 329796)","('train_time', 2276.795070886612)","('best_epoch', 559)","('experiment_id', '1595')","('train_samples', '9363 6887 2692 1588 2258 4942 8800 8839')","('val_samples', '5555 6495 3717 5262 8751 2704 1309 9016 6726 6441 5054 3881 903 6453 7489 8280 4303 7153 3591 4997 9581 7168 8537 9334 1777 6674 8970 5037 8279 1516 8575 826 8515 1013 6814 2754 5376 543 6177 6919 7695 8530 485 6931 8927 9218 2333 1076 2157 900 7712 9380 8756 423 3899 273 3534 7705 6925 8307 6989 5415 2119 481 6297 5209 7977 6681 6218 2906 715 3066 2602 171 4028 2801 5273 1620 2979 993 1131 6835 3842 7670 3266 2130 7054 7109 1944 7530 1893 2185 5159 5052 8780 7768 3141 3965 8013 393')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 9492)","('mean_test_loss', 2.582011684932339)","('test_acc', 0.9422309576485461)","('test_f1', 0.9409962492678604)","('test_prec', 0.9412330765016685)","('test_reca', 0.9422309576485461)","('test_roc', 0.9982899657622661)","('mean_train_loss', 2.5180459916591644)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.583029770851135)","('val_acc', 0.940625)","('val_f1', 0.9390726401117404)","('val_prec', 0.9404992200627118)","('val_reca', 0.940625)","('val_roc', 0.9982546370967742)","('pytorch_total_params', 329796)","('train_time', 1035.0365369319916)","('best_epoch', 321)","('experiment_id', '2735')","('train_samples', '1137 9533 5871 4326 2280 327 6481 656')","('val_samples', '7481 8701 7084 4182 1576 9007 3536 2718 1815 2542 8107 2221 9176 4898 326 517 1167 312 8608 7068 8797 6543 9408 37 5200 6320 3156 4170 3968 5294 7245 472 4158 1539 7178 8285 9139 8213 9090 9526 2332 7078 3924 4281 5204 3270 6217 4323 8736 2320 6384 3006 5776 4183 9482 6097 2785 8350 6569 1304 7317 3142 5551 5336 5647 133 8923 7833 9486 4011 6771 2467 2843 6488 7432 8510 8211 5569 5127 1436 8102 8062 940 5958 4603 4546 3732 3356 3177 736 4144 3588 6435 3639 5572 8664 7073 9006 8526 403')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 9492)","('mean_test_loss', 2.5909843415185163)","('test_acc', 0.9324595712178677)","('test_f1', 0.9301637921426845)","('test_prec', 0.9309219782890479)","('test_reca', 0.9324595712178677)","('test_roc', 0.9977609596908029)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5864228558540345)","('val_acc', 0.9375)","('val_f1', 0.9351052419268625)","('val_prec', 0.9357250162938346)","('val_reca', 0.9375)","('val_roc', 0.9982685987903226)","('pytorch_total_params', 329796)","('train_time', 3420.8688905239105)","('best_epoch', 975)","('experiment_id', '3875')","('train_samples', '6684 8148 6465 58 6092 8559 6158 8111')","('val_samples', '6797 6610 9388 9555 9151 8820 2089 7602 1133 8389 4653 6513 5604 4531 9439 1503 4924 1954 5006 8738 2979 2232 4894 1094 8490 311 7720 263 4837 3970 7320 2333 8142 2891 517 820 230 7650 2074 670 5268 6970 4123 7272 1431 8955 6359 6137 4176 7083 4991 8744 6927 2684 4145 9594 8701 5517 8720 756 6026 7780 2289 1467 8873 7166 3973 1464 278 1292 5789 2412 549 9070 1780 2659 2148 8069 5419 3884 5714 8462 4210 8154 4040 8221 4486 6602 5508 7 7781 7247 2261 3519 1498 8668 9150 5503 269 8492')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 9492)","('mean_test_loss', 2.5737893629365463)","('test_acc', 0.9500204119258323)","('test_f1', 0.9462855007535218)","('test_prec', 0.9486244862399089)","('test_reca', 0.9500204119258323)","('test_roc', 0.9987801460939003)","('mean_train_loss', 2.5180415511131287)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.572384955883026)","('val_acc', 0.9503125)","('val_f1', 0.9462319826006582)","('val_prec', 0.947168275555346)","('val_reca', 0.9503125)","('val_roc', 0.9987316532258064)","('pytorch_total_params', 329796)","('train_time', 2471.99577832222)","('best_epoch', 632)","('experiment_id', '5015')","('train_samples', '3735 8136 1384 5876 5677 2617 5916 4394')","('val_samples', '3313 3192 8793 6576 5567 3692 8502 2764 6555 1718 9268 3728 5162 8166 6771 8340 2677 7336 9162 2246 3355 7860 3490 1536 8971 4285 8889 4545 5279 9599 7566 1573 4835 2965 6639 4940 1341 6225 2287 6368 7078 8968 155 426 8741 5642 5075 8682 5972 9282 6105 9148 2035 3590 8806 1344 1307 9040 3635 9096 6596 2996 9295 1736 4741 6811 6509 7931 2153 6160 8161 4127 8102 2810 668 8364 6087 2337 2534 5733 2747 1376 4400 5172 6692 189 8538 7678 5738 2114 5675 6411 7422 9097 5692 6119 4068 741 4024 9375')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 9492)","('mean_test_loss', 2.570695203489962)","('test_acc', 0.9544517751790982)","('test_f1', 0.9536940641619024)","('test_prec', 0.95508048005202)","('test_reca', 0.9544517751790982)","('test_roc', 0.998748064523322)","('mean_train_loss', 2.5180469155311584)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.570257818698883)","('val_acc', 0.9553125)","('val_f1', 0.9546782343981355)","('val_prec', 0.9562021113339716)","('val_reca', 0.9553125)","('val_roc', 0.9989033266129033)","('pytorch_total_params', 329796)","('train_time', 1149.9397337436676)","('best_epoch', 303)","('experiment_id', '6155')","('train_samples', '6915 5819 5082 1703 3052 7626 9175 9280')","('val_samples', '7869 4105 3529 8159 349 2778 6330 7651 6374 1545 7086 6470 5564 7456 9307 9152 6895 2608 5555 1764 1054 2344 1571 4172 8150 9411 6216 718 4535 7041 3070 4325 9414 9133 2181 1273 1523 7609 5520 4584 5858 4582 6567 6688 7099 5996 9417 9112 1604 5723 8783 1683 5754 7330 6733 2948 4326 9157 482 3172 7586 3376 6076 8946 2005 8357 2176 2890 4025 3833 8366 7216 3996 3486 8296 2804 6359 894 7920 9329 829 4872 5013 4768 1585 6049 8809 1298 1681 5148 6834 6177 8659 6617 656 4195 2407 5259 1654 5885')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 9492)","('mean_test_loss', 2.5697160593025603)","('test_acc', 0.956680625790139)","('test_f1', 0.9556031210261264)","('test_prec', 0.9556604082757826)","('test_reca', 0.956680625790139)","('test_roc', 0.9989721740186517)","('mean_train_loss', 2.518047660589218)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.562052273750305)","('val_acc', 0.9621875)","('val_f1', 0.9612692477627995)","('val_prec', 0.9614218812419141)","('val_reca', 0.9621875)","('val_roc', 0.9992965725806451)","('pytorch_total_params', 329796)","('train_time', 1202.1002547740936)","('best_epoch', 299)","('experiment_id', '7295')","('train_samples', '5764 8953 5031 694 7046 131 4603 1834')","('val_samples', '1720 7311 1376 8340 8966 5776 7165 1684 2556 4628 3916 5821 3204 5944 7942 5559 7480 3827 1969 7558 6255 8945 4255 4365 1064 5792 2010 5470 3802 3383 7391 7627 5707 2226 4734 5938 866 84 7673 1612 5925 2695 7042 6172 9313 7522 6713 9478 7244 5992 3276 4232 2262 1916 1950 2768 2766 9168 7247 5641 1966 5648 868 4269 7706 1480 4957 5959 2874 8218 1832 900 8620 8224 6659 5612 4182 1968 1557 4465 7260 1335 3684 4977 3548 5208 8152 9442 1937 3918 5785 8037 1096 8652 1 4862 7368 8002 4193 7443')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 9492)","('mean_test_loss', 2.583087329516871)","('test_acc', 0.9411115939738728)","('test_f1', 0.938892669734245)","('test_prec', 0.94004474437938)","('test_reca', 0.9411115939738728)","('test_roc', 0.998201275224297)","('mean_train_loss', 2.5180414617061615)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.585632245540619)","('val_acc', 0.9421875)","('val_f1', 0.9401017567637174)","('val_prec', 0.9416374768377764)","('val_reca', 0.9421875)","('val_roc', 0.9983122983870967)","('pytorch_total_params', 329796)","('train_time', 2511.708258867264)","('best_epoch', 655)","('experiment_id', '9575')","('train_samples', '527 2356 5009 1577 9045 1806 2957 5543')","('val_samples', '7704 2439 3956 620 3862 2086 7366 1711 5735 2920 8944 4774 5881 1417 6779 3140 194 6769 3478 2753 3269 2885 551 6371 2319 7186 8845 3648 5252 8480 6406 2262 732 8643 2652 2517 6148 4433 3106 2283 154 6633 4367 1457 3431 210 126 9068 5299 3927 7963 4881 6757 6949 752 6415 7857 4542 530 7095 612 9338 2130 5393 4368 284 4165 9554 6766 2083 9287 7287 4923 2779 5970 6911 3047 6524 5821 9251 5211 4974 6786 3414 5003 8340 9598 7840 5156 4808 6537 5208 9363 4430 6952 3342 249 8646 4113 2329')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 9492)","('mean_test_loss', 2.5659151195575554)","('test_acc', 0.9586164664981036)","('test_f1', 0.957186997092447)","('test_prec', 0.9576178040897836)","('test_reca', 0.9586164664981036)","('test_roc', 0.9990400063473455)","('mean_train_loss', 2.51804319024086)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5690061211586)","('val_acc', 0.953125)","('val_f1', 0.9513934132544909)","('val_prec', 0.9524878556193588)","('val_reca', 0.953125)","('val_roc', 0.9989828629032258)","('pytorch_total_params', 329796)","('train_time', 1807.6987471580505)","('best_epoch', 416)","('experiment_id', '10715')","('train_samples', '1455 8886 3714 4441 3285 3847 6670 6423')","('val_samples', '860 4033 3478 2643 6238 7297 9536 8933 2437 7117 4299 533 1841 6884 9541 88 473 1523 8749 6458 3134 3441 7541 1973 7020 6447 49 6802 3831 4572 4002 733 1984 2689 3857 2519 52 1257 2823 7234 2085 4208 671 5179 7561 8964 9346 2172 4667 5038 8695 6609 8089 4814 8659 5485 4568 5503 8752 9466 95 3473 7767 5592 8475 4129 2552 9305 416 3730 6381 5912 5662 4826 2802 6946 6913 1032 4858 6633 2162 7931 458 2639 8160 7071 6752 2885 7282 8635 774 2788 3463 1866 2601 7536 8552 8045 3270 8514')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 0.25)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 9492)","('mean_test_loss', 2.5694058697735063)","('test_acc', 0.9552912979351033)","('test_f1', 0.9545902041419753)","('test_prec', 0.9545962812097939)","('test_reca', 0.9552912979351034)","('test_roc', 0.9988535067011772)","('mean_train_loss', 2.5180411338806152)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.570135247707367)","('val_acc', 0.953125)","('val_f1', 0.9521853428975577)","('val_prec', 0.9520420937360448)","('val_reca', 0.953125)","('val_roc', 0.9987680443548387)","('pytorch_total_params', 329796)","('train_time', 2365.5152118206024)","('best_epoch', 720)","('experiment_id', '8435')","('train_samples', '992 2552 334 845 894 7479 4252 196')","('val_samples', '3835 116 7180 2116 9326 697 6739 3387 4125 6174 3261 1564 2693 6336 8485 9241 8213 8160 6770 7570 3153 6492 5600 4119 6943 1561 4054 5825 5760 7791 9083 545 2870 8619 5950 232 1261 7422 7589 1324 6254 38 7523 2834 4671 3791 8700 9251 4646 4280 5011 3288 3420 8919 162 6846 8231 3547 4919 3653 8855 2853 185 9034 1926 8370 8350 3577 6367 6818 4809 9517 4409 841 5296 5664 7806 2686 79 1288 7705 4788 777 2220 7242 1410 1190 8473 3606 2361 1009 2408 3538 9130 3519 3646 7627 6334 4377 3496')"
